iso3,year,physicians_per_1000
COL,2003,1.352
COL,2004,1.391
COL,2005,1.432
COL,2006,1.469
COL,2007,1.511
COL,2008,1.563
COL,2009,1.617
COL,2010,1.666
COL,2011,1.754
COL,2012,1.814
COL,2013,1.884
COL,2014,1.96
COL,2015,2.022
COL,2016,2.088
COL,2017,2.163
COL,2018,2.242
COL,2019,2.317
COL,2020,2.394
COL,2021,2.467
COL,2022,NA
COL,2023,2.535
COL,2024,NA
COM,2000,NA
COM,2001,NA
COM,2002,NA
COM,2003,NA
COM,2004,0.198
COM,2005,0.196
COM,2006,NA
COM,2007,NA
COM,2008,NA
COM,2009,0.199
COM,2010,NA
COM,2011,NA
COM,2012,0.181
COM,2013,NA
COM,2014,NA
COM,2015,NA
COM,2016,0.291
COM,2017,NA
COM,2018,0.285
COM,2019,NA
COM,2020,0.441
COM,2021,NA
COM,2022,0.424
COM,2023,NA
COM,2024,NA
CPV,2000,NA
CPV,2001,NA
CPV,2002,NA
CPV,2003,NA
CPV,2004,0.493
CPV,2005,NA
CPV,2006,NA
CPV,2007,NA
CPV,2008,NA
CPV,2009,0.136
CPV,2010,0.573
CPV,2011,0.571
CPV,2012,0.508
CPV,2013,0.601
CPV,2014,0.461
CPV,2015,0.743
CPV,2016,0.731
CPV,2017,0.659
CPV,2018,0.711
CPV,2019,0.743
CPV,2020,0.725
CPV,2021,0.732
CPV,2022,0.718
CPV,2023,0.73
CPV,2024,NA
CRI,2000,1.322
CRI,2001,NA
CRI,2002,NA
CRI,2003,NA
CRI,2004,NA
CRI,2005,NA
CRI,2006,2.053
CRI,2007,2.102
CRI,2008,2.169
CRI,2009,2.228
CRI,2010,2.317
CRI,2011,2.384
CRI,2012,2.471
CRI,2013,2.556
CRI,2014,2.659
CRI,2015,1.806
CRI,2016,1.955
CRI,2017,2.101
CRI,2018,2.253
CRI,2019,2.376
CRI,2020,2.494
CRI,2021,2.564
CRI,2022,2.687
CRI,2023,NA
CRI,2024,NA
CSS,2000,0.8165908755534627
CSS,2001,NA
CSS,2002,NA
CSS,2003,NA
CSS,2004,NA
CSS,2005,NA
CSS,2006,NA
CSS,2007,NA
CSS,2008,NA
CSS,2009,NA
CSS,2010,1.2649031056164581
CSS,2011,NA
CSS,2012,NA
CSS,2013,NA
CSS,2014,NA
CSS,2015,NA
CSS,2016,NA
CSS,2017,NA
CSS,2018,NA
CSS,2019,NA
CSS,2020,NA
CSS,2021,NA
CSS,2022,2.5250801321604337
CSS,2023,NA
CSS,2024,NA
CUB,2000,5.941
CUB,2001,5.952
CUB,2002,6.001
CUB,2003,6.068
CUB,2004,6.203
CUB,2005,6.268
CUB,2006,6.339
CUB,2007,6.416
CUB,2008,6.602
CUB,2009,6.63
CUB,2010,6.772
CUB,2011,6.957
CUB,2012,7.26
CUB,2013,7.408
CUB,2014,7.582
CUB,2015,7.803
CUB,2016,8.003
CUB,2017,8.187
CUB,2018,8.505
CUB,2019,8.677
CUB,2020,9.291
CUB,2021,9.542
CUB,2022,NA
CUB,2023,NA
CUB,2024,NA
CUW,2000,NA
CUW,2001,NA
CUW,2002,NA
CUW,2003,NA
CUW,2004,NA
CUW,2005,NA
CUW,2006,NA
CUW,2007,NA
CUW,2008,NA
CUW,2009,NA
CUW,2010,NA
CUW,2011,NA
CUW,2012,NA
CUW,2013,NA
CUW,2014,NA
CUW,2015,NA
CUW,2016,NA
CUW,2017,NA
CUW,2018,NA
CUW,2019,NA
CUW,2020,NA
CUW,2021,NA
CUW,2022,NA
CUW,2023,NA
CUW,2024,NA
CYM,2000,NA
CYM,2001,NA
CYM,2002,NA
CYM,2003,NA
CYM,2004,NA
CYM,2005,NA
CYM,2006,NA
CYM,2007,NA
CYM,2008,NA
CYM,2009,NA
CYM,2010,NA
CYM,2011,NA
CYM,2012,NA
CYM,2013,NA
CYM,2014,NA
CYM,2015,NA
CYM,2016,NA
CYM,2017,NA
CYM,2018,NA
CYM,2019,NA
CYM,2020,NA
CYM,2021,NA
CYM,2022,NA
CYM,2023,NA
