iso3,year,basic_water
DZA,2023,92.3726404744191
DZA,2024,92.4200285933986
EAP,2000,79.88124197557761
EAP,2001,80.3535177465829
EAP,2002,81.22681119629696
EAP,2003,82.09670261471399
EAP,2004,82.94834849599508
EAP,2005,83.78021086684346
EAP,2006,84.58476005094577
EAP,2007,85.3664686145374
EAP,2008,86.13005577551534
EAP,2009,86.87059409979594
EAP,2010,87.5758248586429
EAP,2011,88.21657229202252
EAP,2012,88.83153669523026
EAP,2013,89.42650464271559
EAP,2014,90.0020557751214
EAP,2015,90.55812098965104
EAP,2016,91.09531263112034
EAP,2017,91.6137154644933
EAP,2018,92.12501522086083
EAP,2019,92.60463813440376
EAP,2020,93.05956739197318
EAP,2021,93.6676417580085
EAP,2022,94.30784422212943
EAP,2023,94.75929742302752
EAP,2024,94.81307944585295
EAR,2000,80.42239233980065
EAR,2001,80.94823694985409
EAR,2002,81.52718467540426
EAR,2003,82.10648277718941
EAR,2004,82.6838782755359
EAR,2005,83.22942541778254
EAR,2006,83.80277795666842
EAR,2007,84.36828143963118
EAR,2008,84.95065079509185
EAR,2009,85.50789116714726
EAR,2010,86.04759077999724
EAR,2011,86.5669676769277
EAR,2012,87.08043140721145
EAR,2013,87.59225188078916
EAR,2014,88.09971862904693
EAR,2015,88.5966668480896
EAR,2016,89.08797846100352
EAR,2017,89.44061055019627
EAR,2018,89.92568156231339
EAR,2019,90.41073981620264
EAR,2020,90.89339896966912
EAR,2021,91.35620653427247
EAR,2022,91.79035456640052
EAR,2023,92.15571207612176
EAR,2024,92.5181175707612
EAS,2000,81.42448922206263
EAS,2001,81.85194730011239
EAS,2002,83.01978681016155
EAS,2003,83.79388521466038
EAS,2004,84.55200895253014
EAS,2005,85.29501213265777
EAS,2006,86.01624778704992
EAS,2007,86.72039086674782
EAS,2008,87.40939525389898
EAS,2009,88.07652026441373
EAS,2010,88.71194042132524
EAS,2011,89.28858193239985
EAS,2012,89.84189842094057
EAS,2013,90.37750452984243
EAS,2014,90.89735576112685
EAS,2015,91.3999495256258
EAS,2016,91.88599725600896
EAS,2017,92.35488987086842
EAS,2018,92.81854070372154
EAS,2019,93.2542147094899
EAS,2020,93.6669628750683
EAS,2021,94.21694999170279
EAS,2022,94.79855890627306
EAS,2023,95.21153387711233
EAS,2024,95.26572159408175
ECA,2000,91.15647243384872
ECA,2001,91.33575710735512
ECA,2002,91.56278697523248
ECA,2003,91.78625310212463
ECA,2004,91.91240286559469
ECA,2005,92.05552839470447
ECA,2006,92.21352221338746
